full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years_until_retirement
Dewayne Dedmon,76,#0,Atlanta Hawks,C,08/12/1989,7-0 / 2.13,239 lbs. / 108.4 kg.,$13333334,USA,2013,Undrafted,Undrafted,USC,4
Gorgui Dieng,76,#0,Memphis Grizzlies,C,01/18/1990,6-10 / 2.08,230 lbs. / 104.3 kg.,$16229213,Senegal,2013,1,21,Louisville,5
Gerald Green,76,#0,Free agent,F-G,01/26/1986,6-6 / 1.98,192 lbs. / 87.1 kg.,$2564753,USA,2005,1,18,No college,1
Jeff Green,76,#34,Houston Rockets,F,08/28/1986,6-8 / 2.03,235 lbs. / 106.6 kg.,$3405180,USA,2007,1,5,Georgetown,1
Rodney Hood,76,#5,Portland Trail Blazers,F,10/20/1992,6-8 / 2.03,208 lbs. / 94.3 kg.,$5718000,USA,2014,1,23,Duke,7
Kevin Huerter,76,#3,Atlanta Hawks,G,08/27/1998,6-7 / 2.01,190 lbs. / 86.2 kg.,$2636280,USA,2018,1,19,Maryland,13
Ersan Ilyasova,76,#7,Milwaukee Bucks,F,05/15/1987,6-9 / 2.06,235 lbs. / 106.6 kg.,$7000000,Turkey,2005,2,36,No college,2
Jonathan Isaac,76,#1,Orlando Magic,F,10/03/1997,6-11 / 2.11,205 lbs. / 93 kg.,$5806440,USA,2017,1,6,Florida State,12
Josh Jackson,76,#20,Memphis Grizzlies,F,02/10/1997,6-8 / 2.03,203 lbs. / 92.1 kg.,$7059480,USA,2017,1,4,Kansas,12
Frank Kaminsky,76,#8,Phoenix Suns,F-C,04/04/1993,7-0 / 2.13,231 lbs. / 104.8 kg.,$4767000,USA,2015,1,9,Wisconsin,8
Michael Kidd-Gilchrist,76,#0,Dallas Mavericks,F,09/26/1993,6-6 / 1.98,232 lbs. / 105.2 kg.,$12784359,USA,2012,1,2,Kentucky,8
Kevin Knox,76,#20,New York Knicks,F,08/11/1999,6-7 / 2.01,215 lbs. / 97.5 kg.,$4380120,USA,2018,1,9,Kentucky,14
Meyers Leonard,76,#0,Miami Heat,C,02/27/1992,7-0 / 2.13,245 lbs. / 111.1 kg.,$11286515,USA,2012,1,11,Illinois ,7
Wesley Matthews,76,#9,Milwaukee Bucks,G,10/14/1986,6-4 / 1.93,220 lbs. / 99.8 kg.,$2564753,USA,2009,Undrafted,Undrafted,Marquette,1
Emmanuel Mudiay,76,#8,Utah Jazz,G,03/05/1996,6-3 / 1.91,190 lbs. / 86.2 kg.,$1737145,Democratic Republic of the Congo,2015,1,7,No college,11
Jahlil Okafor,76,#8,New Orleans Pelicans,C,12/15/1995,6-10 / 2.08,270 lbs. / 122.5 kg.,$1702486,USA,2015,1,3,Duke,10
Elfrid Payton,76,#6,New York Knicks,G,02/22/1994,6-3 / 1.91,185 lbs. / 83.9 kg.,$8000000,USA,2014,1,10,Louisiana,9
Michael Porter,76,#1,Denver Nuggets,F,06/29/1998,6-10 / 2.08,215 lbs. / 97.5 kg.,$3389400,USA,2018,1,14,Missouri ,13
Austin Rivers,76,#25,Houston Rockets,G,08/01/1992,6-3 / 1.91,200 lbs. / 90.7 kg.,$2174310,USA,2012,1,10,Duke,7
Andre Roberson,76,#21,Oklahoma City Thunder,G-F,12/04/1991,6-7 / 2.01,206 lbs. / 93.4 kg.,$10740740,USA,2013,1,26,Colorado ,6
Rajon Rondo,76,#9,Los Angeles Lakers,G,02/22/1986,6-1 / 1.85,186 lbs. / 84.4 kg.,$2564753,USA,2006,1,21,Kentucky,1
Landry Shamet,76,#20,Los Angeles Clippers,G,03/13/1997,6-4 / 1.93,180 lbs. / 81.6 kg.,$1995120,USA,2018,1,26,Wichita State,12
Daniel Theis,76,#27,Boston Celtics,C,04/04/1992,6-8 / 2.03,215 lbs. / 97.5 kg.,$5000000,Germany,2013,Undrafted,Undrafted,No college,7
Isaiah Thomas,76,#0,Free agent,G,02/07/1989,5-9 / 1.75,185 lbs. / 83.9 kg.,$2320044,USA,2011,2,60,Washington,4
Dion Waiters,76,#11,Los Angeles Lakers,G,12/10/1991,6-3 / 1.91,210 lbs. / 95.3 kg.,$12475385,USA,2012,1,4,Syracuse,6
Marvin Williams,76,#2,Milwaukee Bucks,F,06/19/1986,6-8 / 2.03,240 lbs. / 108.9 kg.,$14654179,USA,2005,1,2,North Carolina,1
Delon Wright,76,#55,Dallas Mavericks,G,04/26/1992,6-5 / 1.96,181 lbs. / 82.1 kg.,$9473684,USA,2015,1,20,Utah,7
Coby White,76,#0,Chicago Bulls,G,02/16/2000,6-4 / 1.93,185 lbs. / 83.9 kg.,$5307120,USA,2019,1,7,North Carolina,15
Pau Gasol,75,#0,Free agent,C,07/06/1980,7-1 / 2.16,250 lbs. / 113.4 kg.,$5538540,Spain,2001,1,3,No college,Old
Aron Baynes,75,#46,Phoenix Suns,C,12/09/1986,6-10 / 2.08,260 lbs. / 117.9 kg.,$5453280,Australia,2009,Undrafted,Undrafted,Washington State,1
Kent Bazemore,75,#26,Sacramento Kings,G,07/01/1989,6-4 / 1.93,195 lbs. / 88.5 kg.,$19269663,USA,2012,Undrafted,Undrafted,Old Dominion,4
Marco Belinelli,75,#18,San Antonio Spurs,G,03/25/1986,6-5 / 1.96,200 lbs. / 90.7 kg.,$5846154,Italy,2007,1,18,No college,1
Bismack Biyombo,75,#8,Charlotte Hornets,C,08/28/1992,6-8 / 2.03,229 lbs. / 103.9 kg.,$17000000,Democratic Republic of the Congo,2011,1,7,No college,7
Mikal Bridges,75,#25,Phoenix Suns,F-G,08/30/1996,6-6 / 1.98,209 lbs. / 94.8 kg.,$4161000,USA,2018,1,10,Villanova,11
